credit_id,client_id,cycle,objet,montant,duree_mois,dti,date_debut,en_defaut
145,50,CYCLE_2,LOGEMENT,2191,24,0.595,2023-06-10,0
146,51,CYCLE_3,CONSOMMATION,18148,18,0.546,2023-07-20,0
147,51,CYCLE_1,MICRO_ENTREPRISE,12131,12,0.404,2025-08-25,0
148,51,CYCLE_3,CONSOMMATION,13218,9,0.367,2023-03-02,0
149,51,CYCLE_1,LOGEMENT,16391,18,0.537,2023-08-08,1
150,52,CYCLE_3,CONSOMMATION,7151,18,0.655,2025-03-05,1
151,52,CYCLE_3,SANTE,5552,6,0.199,2023-05-01,0
152,53,CYCLE_1,CONSOMMATION,1884,24,0.442,2025-02-21,0
153,53,CYCLE_1,LOGEMENT,1718,24,0.067,2024-09-06,0
154,53,CYCLE_2,EDUCATION,3369,24,0.328,2024-11-15,0
155,54,CYCLE_3,EDUCATION,5484,6,0.52,2025-06-14,0
156,54,CYCLE_4,LOGEMENT,4029,24,0.079,2023-08-09,0
157,54,CYCLE_2,CONSOMMATION,4200,24,0.6,2024-04-09,0
158,54,CYCLE_3,EDUCATION,2120,24,0.397,2023-10-28,0
159,54,CYCLE_3,MICRO_ENTREPRISE,5197,9,0.414,2025-08-29,0
160,55,CYCLE_3,LOGEMENT,7241,12,0.114,2025-07-14,0
161,55,CYCLE_2,EDUCATION,6041,24,0.491,2024-03-14,0
162,55,CYCLE_4,LOGEMENT,15472,6,0.05,2023-07-01,0
163,55,CYCLE_1,LOGEMENT,6924,12,0.563,2024-07-26,0
164,55,CYCLE_1,CONSOMMATION,12389,18,0.257,2023-11-12,0
165,56,CYCLE_3,EDUCATION,4719,9,0.304,2023-12-08,1
166,56,CYCLE_2,CONSOMMATION,6753,18,0.72,2025-11-27,1
167,56,CYCLE_3,LOGEMENT,4840,9,0.423,2025-07-26,0
168,57,CYCLE_3,SANTE,4348,24,0.446,2026-02-16,0
169,58,CYCLE_3,LOGEMENT,9044,18,0.61,2023-08-04,0
170,58,CYCLE_3,LOGEMENT,9416,18,0.512,2025-10-30,1
171,58,CYCLE_4,CONSOMMATION,12022,18,0.05,2023-03-22,0
172,58,CYCLE_1,CONSOMMATION,2763,9,0.314,2025-02-23,0
173,59,CYCLE_1,EDUCATION,7124,24,0.083,2024-01-29,0
174,60,CYCLE_1,LOGEMENT,3241,18,0.334,2023-09-08,0
175,61,CYCLE_2,LOGEMENT,2135,12,0.457,2023-11-14,1
176,61,CYCLE_2,SANTE,3362,18,0.581,2026-01-19,1
177,62,CYCLE_1,EDUCATION,8046,24,0.053,2025-04-25,0
178,62,CYCLE_1,EDUCATION,8485,24,0.532,2024-02-29,0
179,62,CYCLE_2,EDUCATION,12266,24,0.52,2024-11-18,0
180,63,CYCLE_1,LOGEMENT,6789,12,0.777,2023-03-04,1
181,63,CYCLE_1,SANTE,1208,24,0.278,2026-01-17,0
182,63,CYCLE_1,LOGEMENT,3446,9,0.094,2025-05-16,0
183,64,CYCLE_1,SANTE,5889,9,0.519,2024-04-23,0
184,65,CYCLE_2,SANTE,12566,18,0.5,2025-08-07,1
185,66,CYCLE_2,LOGEMENT,3956,24,0.403,2023-12-12,1
186,66,CYCLE_4,LOGEMENT,8341,12,0.261,2025-03-30,0
187,66,CYCLE_1,LOGEMENT,2765,9,0.396,2025-06-23,0
188,66,CYCLE_1,EDUCATION,1563,12,0.667,2024-02-28,0
189,67,CYCLE_2,EDUCATION,1990,24,0.576,2023-05-27,0
190,67,CYCLE_2,LOGEMENT,2671,6,0.543,2024-12-22,1
191,67,CYCLE_3,MICRO_ENTREPRISE,3674,6,0.088,2024-01-17,1
192,68,CYCLE_4,SANTE,19659,9,0.368,2025-10-03,1
193,68,CYCLE_2,MICRO_ENTREPRISE,13120,9,0.435,2025-12-25,0
194,69,CYCLE_2,EDUCATION,9931,9,0.196,2024-10-19,1
195,69,CYCLE_2,MICRO_ENTREPRISE,7452,12,0.715,2023-12-19,0
196,70,CYCLE_4,SANTE,1004,12,0.161,2025-05-23,1
197,70,CYCLE_2,CONSOMMATION,470,12,0.509,2024-05-23,1
198,71,CYCLE_3,SANTE,9184,12,0.361,2024-08-11,0
199,72,CYCLE_2,CONSOMMATION,6326,24,0.8,2023-09-23,1
200,73,CYCLE_1,SANTE,2995,9,0.62,2024-11-13,0
201,74,CYCLE_1,EDUCATION,830,18,0.312,2025-08-29,0
202,75,CYCLE_3,CONSOMMATION,300,18,0.255,2024-11-24,0
203,75,CYCLE_3,LOGEMENT,300,12,0.631,2025-08-10,1
204,75,CYCLE_2,LOGEMENT,300,6,0.264,2024-05-15,0
205,76,CYCLE_2,EDUCATION,4100,6,0.529,2024-04-17,0
206,76,CYCLE_2,SANTE,4775,6,0.437,2024-03-16,0
207,76,CYCLE_1,CONSOMMATION,5134,24,0.337,2025-10-08,0
208,76,CYCLE_3,MICRO_ENTREPRISE,6702,24,0.283,2023-09-05,0
209,76,CYCLE_3,LOGEMENT,8340,12,0.142,2024-12-07,0
210,77,CYCLE_1,MICRO_ENTREPRISE,1076,24,0.722,2024-03-26,0
211,77,CYCLE_2,LOGEMENT,3110,24,0.52,2025-11-27,0
212,78,CYCLE_1,LOGEMENT,4803,18,0.242,2025-09-21,0
213,79,CYCLE_1,SANTE,6316,6,0.598,2025-04-07,0
214,79,CYCLE_1,CONSOMMATION,6137,12,0.411,2023-02-26,0
215,80,CYCLE_1,MICRO_ENTREPRISE,1422,24,0.419,2023-08-21,0
216,80,CYCLE_1,SANTE,1484,18,0.414,2024-11-14,0
217,81,CYCLE_1,SANTE,5377,6,0.463,2025-08-29,0
218,82,CYCLE_1,CONSOMMATION,11724,18,0.631,2023-12-17,0
219,82,CYCLE_1,EDUCATION,6811,24,0.773,2024-03-22,0
220,82,CYCLE_1,MICRO_ENTREPRISE,14764,18,0.123,2026-02-01,0
221,82,CYCLE_1,SANTE,5893,12,0.497,2023-09-11,0
222,82,CYCLE_2,CONSOMMATION,11589,6,0.187,2025-08-07,0
223,83,CYCLE_1,SANTE,4649,24,0.196,2023-12-07,0
224,84,CYCLE_3,SANTE,18504,24,0.405,2025-11-15,0
225,85,CYCLE_1,EDUCATION,3280,18,0.128,2025-08-13,0
226,85,CYCLE_2,LOGEMENT,3652,24,0.103,2023-08-29,0
227,85,CYCLE_1,SANTE,4361,6,0.304,2026-01-01,0
228,85,CYCLE_3,SANTE,4372,6,0.274,2024-03-16,0
229,86,CYCLE_1,EDUCATION,977,18,0.269,2023-09-17,0
230,86,CYCLE_1,EDUCATION,2695,24,0.149,2023-04-27,0
231,86,CYCLE_3,MICRO_ENTREPRISE,4599,12,0.618,2024-02-17,1
232,87,CYCLE_1,CONSOMMATION,4352,24,0.093,2024-03-18,0
233,87,CYCLE_1,SANTE,2317,12,0.8,2023-05-07,1
234,87,CYCLE_3,MICRO_ENTREPRISE,9318,9,0.381,2023-06-16,0
235,87,CYCLE_3,CONSOMMATION,11331,12,0.168,2026-01-21,0
236,87,CYCLE_1,LOGEMENT,5022,24,0.209,2024-10-29,0
237,87,CYCLE_1,EDUCATION,6502,6,0.169,2023-09-18,0
238,88,CYCLE_1,MICRO_ENTREPRISE,1332,9,0.503,2024-01-28,1
239,88,CYCLE_1,EDUCATION,9212,18,0.366,2024-04-28,0
240,88,CYCLE_4,SANTE,14737,18,0.992,2023-08-17,0
241,89,CYCLE_1,CONSOMMATION,2876,24,0.389,2025-08-04,0
242,90,CYCLE_1,SANTE,602,9,0.533,2023-02-28,1
243,91,CYCLE_2,LOGEMENT,3466,12,0.945,2025-12-02,1
244,92,CYCLE_3,EDUCATION,4867,24,0.372,2024-01-16,0
245,93,CYCLE_4,CONSOMMATION,9386,24,0.653,2023-08-15,1
246,93,CYCLE_1,EDUCATION,1430,18,0.333,2026-02-09,0
247,93,CYCLE_2,MICRO_ENTREPRISE,4738,9,0.566,2023-03-17,0
248,93,CYCLE_3,SANTE,10039,24,0.124,2024-11-27,0
249,94,CYCLE_1,SANTE,8608,6,0.356,2023-08-09,0
250,95,CYCLE_1,SANTE,3695,18,0.255,2024-08-07,0
251,96,CYCLE_3,CONSOMMATION,4951,18,0.106,2024-01-10,0
252,96,CYCLE_1,CONSOMMATION,3181,9,0.05,2025-01-18,1
253,96,CYCLE_1,SANTE,3900,18,0.118,2023-10-06,0
254,97,CYCLE_1,EDUCATION,12502,24,0.194,2023-10-10,0
255,97,CYCLE_3,LOGEMENT,15404,18,0.537,2025-11-26,0
256,97,CYCLE_1,SANTE,7538,9,0.732,2023-09-03,0
257,98,CYCLE_4,SANTE,11928,9,0.441,2024-09-18,0
258,99,CYCLE_1,LOGEMENT,8265,9,0.29,2024-07-13,0
259,100,CYCLE_1,CONSOMMATION,2932,12,0.181,2024-11-23,1
260,100,CYCLE_1,SANTE,2713,12,0.189,2024-10-04,0
261,100,CYCLE_2,SANTE,2804,18,0.14,2025-12-14,1
262,100,CYCLE_2,CONSOMMATION,3129,6,0.426,2025-05-10,0
263,101,CYCLE_1,SANTE,300,18,0.137,2026-01-15,1
264,101,CYCLE_3,LOGEMENT,378,18,0.061,2024-04-26,0
265,102,CYCLE_2,EDUCATION,5153,18,0.311,2025-01-12,0
266,102,CYCLE_3,MICRO_ENTREPRISE,7435,9,0.092,2025-12-20,0
267,102,CYCLE_2,EDUCATION,5178,9,1.187,2024-01-03,0
268,103,CYCLE_1,LOGEMENT,5071,24,0.191,2025-11-06,1
269,104,CYCLE_1,EDUCATION,4524,6,0.212,2023-10-08,1
270,105,CYCLE_1,CONSOMMATION,2309,24,0.351,2024-01-11,1
271,105,CYCLE_3,MICRO_ENTREPRISE,3459,18,0.208,2024-10-20,1
272,105,CYCLE_3,CONSOMMATION,1780,9,0.05,2024-08-25,0
273,105,CYCLE_1,SANTE,2633,9,0.357,2023-12-13,0
274,106,CYCLE_2,SANTE,4063,9,0.28,2025-12-24,0
275,107,CYCLE_2,SANTE,12923,9,0.389,2025-12-18,1
276,107,CYCLE_1,LOGEMENT,11026,6,0.46,2024-03-07,0
277,107,CYCLE_1,EDUCATION,16518,18,0.386,2025-03-26,0
278,107,CYCLE_2,EDUCATION,13743,6,0.642,2025-03-24,0
279,107,CYCLE_1,SANTE,8312,12,0.266,2024-04-24,1
280,107,CYCLE_3,SANTE,7079,12,0.641,2025-01-03,0
281,108,CYCLE_1,LOGEMENT,11361,9,0.702,2023-05-11,0
282,108,CYCLE_3,LOGEMENT,15114,18,0.892,2024-03-21,0
283,109,CYCLE_2,CONSOMMATION,3903,24,0.267,2023-02-28,0
284,109,CYCLE_1,MICRO_ENTREPRISE,4413,12,0.056,2024-12-28,0
285,109,CYCLE_2,EDUCATION,5928,24,0.664,2025-02-13,1
286,109,CYCLE_4,LOGEMENT,10183,12,0.05,2023-10-28,0
287,110,CYCLE_2,LOGEMENT,1042,24,0.638,2023-05-30,0
288,110,CYCLE_1,MICRO_ENTREPRISE,623,24,0.221,2023-05-27,0
289,111,CYCLE_3,CONSOMMATION,3224,24,0.391,2025-02-05,0
290,112,CYCLE_1,LOGEMENT,5068,18,0.082,2025-05-18,0
291,112,CYCLE_2,SANTE,9274,6,0.291,2024-05-18,0
292,113,CYCLE_3,EDUCATION,20687,12,0.066,2024-01-06,0
293,113,CYCLE_1,LOGEMENT,12283,24,0.239,2024-11-27,0
294,113,CYCLE_2,MICRO_ENTREPRISE,7751,12,0.271,2023-08-14,0
295,114,CYCLE_1,MICRO_ENTREPRISE,14187,24,0.327,2024-05-15,0
296,114,CYCLE_2,MICRO_ENTREPRISE,17127,9,0.409,2023-09-30,0
297,114,CYCLE_2,LOGEMENT,14542,6,0.227,2024-05-09,1
298,115,CYCLE_2,LOGEMENT,9063,9,0.379,2024-05-02,0
299,115,CYCLE_1,CONSOMMATION,11664,24,0.3,2023-11-26,0
300,115,CYCLE_2,MICRO_ENTREPRISE,9169,9,0.088,2024-12-17,0
301,115,CYCLE_1,CONSOMMATION,8834,6,0.857,2023-03-17,1
302,116,CYCLE_1,CONSOMMATION,1744,6,0.652,2025-02-28,1
303,116,CYCLE_1,EDUCATION,5406,18,0.483,2025-05-26,0
304,117,CYCLE_1,LOGEMENT,1868,6,0.59,2023-06-05,1
305,117,CYCLE_3,EDUCATION,4142,24,0.11,2025-08-23,0
306,117,CYCLE_2,CONSOMMATION,2361,24,0.531,2025-01-29,1
307,117,CYCLE_3,CONSOMMATION,4171,18,0.619,2024-08-17,1
308,117,CYCLE_1,LOGEMENT,827,9,0.425,2024-06-08,0
309,117,CYCLE_1,CONSOMMATION,1555,9,0.13,2025-11-20,0
310,118,CYCLE_2,SANTE,5447,18,0.204,2024-02-07,0
311,118,CYCLE_1,MICRO_ENTREPRISE,7843,24,0.287,2025-01-22,0
312,118,CYCLE_1,SANTE,12608,24,0.724,2024-01-02,1
313,119,CYCLE_3,CONSOMMATION,6108,6,0.129,2026-01-28,0
314,119,CYCLE_1,EDUCATION,2833,6,0.308,2024-04-27,0
315,119,CYCLE_3,CONSOMMATION,4571,9,0.105,2025-03-05,0
316,120,CYCLE_1,LOGEMENT,4696,12,0.351,2024-10-22,0
317,120,CYCLE_1,CONSOMMATION,4820,12,0.448,2024-04-17,0
318,120,CYCLE_3,EDUCATION,10061,18,0.224,2023-10-31,1
319,120,CYCLE_1,EDUCATION,3565,6,0.363,2025-03-11,1
320,121,CYCLE_3,CONSOMMATION,9262,6,1.036,2024-02-01,0
321,121,CYCLE_2,SANTE,7800,9,0.518,2025-01-04,0
322,122,CYCLE_1,CONSOMMATION,6564,12,0.46,2023-09-19,0
323,122,CYCLE_1,SANTE,5611,24,0.365,2023-03-22,0
324,122,CYCLE_3,LOGEMENT,15051,24,0.196,2024-02-23,0
325,123,CYCLE_1,EDUCATION,2007,9,0.344,2025-11-22,0
326,123,CYCLE_1,MICRO_ENTREPRISE,3405,24,0.196,2025-03-19,1
327,124,CYCLE_1,LOGEMENT,2461,24,0.648,2024-10-13,0
328,124,CYCLE_1,CONSOMMATION,5046,18,0.559,2024-01-30,0
329,124,CYCLE_2,LOGEMENT,7984,24,0.23,2025-06-30,0
330,125,CYCLE_2,EDUCATION,12818,6,0.423,2025-04-25,0
331,125,CYCLE_2,LOGEMENT,8989,18,0.215,2025-11-17,0
332,125,CYCLE_1,EDUCATION,1461,24,0.221,2023-10-06,1
333,126,CYCLE_1,LOGEMENT,4146,6,0.21,2023-08-13,0
334,126,CYCLE_2,MICRO_ENTREPRISE,4218,24,0.46,2024-04-14,0
335,126,CYCLE_1,EDUCATION,5329,9,0.508,2024-09-22,0
336,126,CYCLE_3,EDUCATION,9548,12,0.274,2025-05-14,0
337,127,CYCLE_3,LOGEMENT,9787,24,0.649,2024-03-25,0
338,127,CYCLE_3,SANTE,10029,6,0.132,2026-01-30,1
339,128,CYCLE_4,LOGEMENT,7580,6,0.422,2023-07-27,0
340,128,CYCLE_1,EDUCATION,3586,6,0.653,2024-04-21,1
341,128,CYCLE_1,EDUCATION,2576,6,0.654,2025-12-12,0
342,129,CYCLE_2,MICRO_ENTREPRISE,6272,6,0.301,2025-05-06,0
343,129,CYCLE_2,CONSOMMATION,8389,9,0.285,2024-06-19,0
344,129,CYCLE_1,MICRO_ENTREPRISE,3679,24,0.31,2024-11-12,0
345,129,CYCLE_1,EDUCATION,6015,24,0.282,2023-03-27,0
346,129,CYCLE_4,MICRO_ENTREPRISE,13325,9,0.086,2023-06-01,0
347,130,CYCLE_1,LOGEMENT,9010,12,0.509,2025-07-24,0
348,131,CYCLE_2,SANTE,5728,12,0.412,2023-08-09,0
349,132,CYCLE_1,SANTE,3343,24,0.153,2024-03-04,1
350,133,CYCLE_2,SANTE,11504,6,0.727,2024-05-08,0
351,134,CYCLE_1,LOGEMENT,6856,6,0.337,2024-03-21,0
352,134,CYCLE_1,EDUCATION,2462,12,0.589,2024-03-09,0
353,134,CYCLE_3,CONSOMMATION,7988,6,0.38,2025-12-28,0
354,134,CYCLE_1,EDUCATION,6429,12,0.246,2025-07-06,0
355,135,CYCLE_1,MICRO_ENTREPRISE,380,9,0.242,2025-10-04,1
356,135,CYCLE_3,MICRO_ENTREPRISE,767,18,0.432,2025-08-04,1
357,136,CYCLE_2,SANTE,5107,24,1.163,2025-05-27,0
358,136,CYCLE_3,CONSOMMATION,5721,12,0.65,2023-12-05,0
359,136,CYCLE_1,MICRO_ENTREPRISE,3038,24,0.436,2025-10-25,0
360,136,CYCLE_1,MICRO_ENTREPRISE,2599,18,0.315,2025-04-06,1
361,136,CYCLE_1,EDUCATION,1705,6,0.179,2025-05-24,0
362,137,CYCLE_4,CONSOMMATION,9590,12,0.352,2023-03-01,0
