relation_id,source_client_id,target_client_id,type_relation,risk_relation
147,1340,1055,FAMILLE,66
148,276,2129,GARANT,56
149,3018,4490,GARANT,74
150,3464,821,FAMILLE,80
151,882,363,FAMILLE,16
152,3751,4295,GARANT,91
153,3779,4121,BUSINESS,48
154,3828,789,BUSINESS,41
155,1682,170,GARANT,80
156,453,1803,GARANT,97
157,2916,4606,BUSINESS,26
158,3614,4758,BUSINESS,61
159,918,2876,BUSINESS,67
160,2059,1127,GARANT,27
161,177,496,GARANT,91
162,402,1173,FAMILLE,8
163,41,3103,FAMILLE,31
164,3475,3615,FAMILLE,80
165,1962,3189,FAMILLE,63
166,3120,1482,GARANT,26
167,3853,3946,GARANT,97
168,3253,3815,GARANT,87
169,160,478,BUSINESS,55
170,4225,4653,BUSINESS,7
171,2360,1778,BUSINESS,6
172,4315,3458,GARANT,62
173,2826,1784,BUSINESS,37
174,3895,863,FAMILLE,33
175,1669,624,BUSINESS,53
176,2438,3347,GARANT,48
177,1232,3868,BUSINESS,50
178,3937,4975,BUSINESS,46
179,1814,2183,GARANT,80
180,3059,1263,GARANT,43
181,3806,3076,FAMILLE,48
182,3763,4837,FAMILLE,75
183,1798,1271,GARANT,25
184,3258,85,BUSINESS,27
185,908,167,GARANT,17
186,4355,4488,GARANT,70
187,1471,3559,BUSINESS,77
188,656,4122,FAMILLE,79
189,185,2877,GARANT,88
190,1504,4218,FAMILLE,25
191,4612,923,FAMILLE,65
192,3839,3810,BUSINESS,18
193,2354,160,GARANT,89
194,3724,2882,FAMILLE,68
195,3926,2756,FAMILLE,63
196,3915,1205,GARANT,98
197,3735,2704,FAMILLE,51
198,3768,2107,BUSINESS,28
199,387,4557,FAMILLE,72
200,2130,853,GARANT,89
201,3238,2581,BUSINESS,14
202,2038,2362,BUSINESS,51
203,1953,4361,FAMILLE,61
204,3643,3621,BUSINESS,52
205,1697,4335,FAMILLE,11
206,1185,294,GARANT,6
207,3643,2189,GARANT,52
208,2104,1692,GARANT,92
209,1072,1859,GARANT,53
210,1680,1436,BUSINESS,32
211,3422,2905,FAMILLE,6
212,2108,601,GARANT,18
213,4706,3459,FAMILLE,30
214,1547,1058,BUSINESS,59
215,2695,1788,FAMILLE,50
216,4202,1479,FAMILLE,43
217,2231,1712,FAMILLE,80
218,2844,4740,FAMILLE,9
219,3986,89,FAMILLE,24
220,163,3644,BUSINESS,73
221,316,3127,FAMILLE,36
222,4995,2202,GARANT,95
223,263,3107,BUSINESS,58
224,3036,4974,GARANT,48
225,212,2818,BUSINESS,35
226,934,1357,GARANT,26
227,625,4439,BUSINESS,71
228,3756,3674,FAMILLE,43
229,2660,4715,FAMILLE,21
230,3963,3701,GARANT,72
231,2030,155,BUSINESS,18
232,2181,2963,FAMILLE,74
233,523,439,FAMILLE,58
234,2317,608,FAMILLE,69
235,1302,888,GARANT,94
236,1722,4388,GARANT,84
237,4585,2667,FAMILLE,30
238,4211,254,GARANT,98
239,4569,4441,BUSINESS,64
240,4869,3464,GARANT,88
241,2920,2368,GARANT,95
242,373,2023,GARANT,18
243,3536,810,FAMILLE,7
244,4688,692,GARANT,28
245,1828,751,GARANT,87
246,3049,4209,FAMILLE,13
247,3982,4629,FAMILLE,16
248,3641,2054,BUSINESS,18
249,88,867,BUSINESS,23
250,4205,3090,FAMILLE,8
251,879,2910,FAMILLE,72
252,2460,1248,BUSINESS,13
253,2059,4412,BUSINESS,53
254,726,4227,BUSINESS,58
255,2301,4384,BUSINESS,23
256,1073,3572,FAMILLE,25
257,4957,789,GARANT,8
258,2493,394,GARANT,60
259,4940,3520,FAMILLE,43
260,2158,2971,BUSINESS,27
261,4840,965,FAMILLE,10
262,1871,879,FAMILLE,33
263,2943,3701,GARANT,90
264,3984,2507,FAMILLE,5
265,2962,238,FAMILLE,21
266,4816,1758,FAMILLE,42
267,2832,3739,BUSINESS,9
268,2956,2304,FAMILLE,43
269,1380,1267,BUSINESS,12
270,2575,4022,BUSINESS,37
271,1776,2447,GARANT,35
272,3110,1960,FAMILLE,26
273,3254,594,BUSINESS,57
274,825,2434,GARANT,27
275,4061,121,BUSINESS,14
276,339,1037,GARANT,84
277,2667,4920,FAMILLE,26
278,3126,4998,FAMILLE,50
279,2238,2610,GARANT,98
280,2796,2706,FAMILLE,57
281,4172,3112,FAMILLE,60
282,3288,3970,FAMILLE,39
283,3318,1563,FAMILLE,38
284,2230,4257,FAMILLE,25
285,3353,3967,FAMILLE,60
286,4254,1894,GARANT,85
287,4883,411,BUSINESS,11
288,2158,2566,FAMILLE,37
289,1320,792,GARANT,86
290,912,1469,FAMILLE,19
291,4315,2451,GARANT,39
292,922,4949,BUSINESS,61
293,287,4123,FAMILLE,41
294,3123,1996,FAMILLE,57
295,1851,3322,FAMILLE,13
296,262,3190,GARANT,78
297,583,244,FAMILLE,5
298,4972,2471,FAMILLE,17
299,2843,4298,BUSINESS,8
300,249,3430,BUSINESS,31
301,922,2567,BUSINESS,56
302,142,3847,GARANT,35
303,2040,4742,GARANT,86
304,770,1573,GARANT,83
305,2020,4550,GARANT,44
306,4472,443,BUSINESS,60
307,3185,4637,GARANT,97
308,4803,216,FAMILLE,41
309,469,2930,BUSINESS,78
310,2492,3678,FAMILLE,5
311,896,723,FAMILLE,8
312,1627,4708,GARANT,95
313,308,4234,GARANT,20
314,183,3347,FAMILLE,11
315,2192,1471,FAMILLE,70
316,3415,2155,GARANT,58
317,30,4369,GARANT,74
318,3634,3273,BUSINESS,47
319,2596,4411,FAMILLE,51
320,2078,3207,GARANT,74
321,2775,933,GARANT,78
322,3355,4513,GARANT,87
323,3600,4049,FAMILLE,12
324,3231,953,BUSINESS,68
325,3487,1236,BUSINESS,16
326,2945,4175,GARANT,91
327,1091,1749,BUSINESS,32
328,3698,2340,FAMILLE,74
329,4996,2437,FAMILLE,42
330,1178,607,FAMILLE,50
331,2314,4824,GARANT,76
332,660,4704,FAMILLE,10
333,1271,82,FAMILLE,12
334,4222,2077,GARANT,90
335,260,846,GARANT,83
336,4630,4920,FAMILLE,71
337,2168,120,FAMILLE,54
338,2484,889,BUSINESS,30
339,2199,353,FAMILLE,38
340,531,3241,FAMILLE,42
341,3718,3461,BUSINESS,78
342,1158,4307,GARANT,23
343,4191,246,FAMILLE,60
344,3387,3980,BUSINESS,47
345,2012,2519,FAMILLE,58
346,305,726,GARANT,98
347,3227,1077,FAMILLE,53
348,3668,3806,FAMILLE,57
349,2682,1994,GARANT,16
350,3149,3512,FAMILLE,9
351,1978,2853,FAMILLE,65
352,3374,1809,BUSINESS,59
353,4635,2205,GARANT,70
354,3907,3137,FAMILLE,80
355,2126,421,FAMILLE,72
356,2061,4470,BUSINESS,71
357,3342,4912,BUSINESS,23
358,3192,925,GARANT,5
359,790,2161,FAMILLE,14
360,296,2024,BUSINESS,32
361,4670,237,BUSINESS,63
362,2483,1096,GARANT,84
363,1224,971,BUSINESS,26
364,4956,3154,BUSINESS,13
365,2170,2134,BUSINESS,20
366,3878,1333,GARANT,22
367,179,2824,BUSINESS,42
368,1752,4959,GARANT,15
369,1587,523,BUSINESS,34
370,3054,870,FAMILLE,80
371,4157,3210,BUSINESS,44
372,1145,2665,BUSINESS,19
373,1615,2340,BUSINESS,51
374,3557,3381,FAMILLE,51
375,3105,1972,FAMILLE,78
376,4918,2774,GARANT,78
377,396,1217,GARANT,84
378,2386,2635,FAMILLE,28
379,2442,2619,GARANT,90
380,3620,2523,FAMILLE,18
381,3092,2464,BUSINESS,31
382,3889,1646,GARANT,87
383,2989,3888,GARANT,97
384,4257,3933,GARANT,15
385,1827,1477,FAMILLE,78
386,4671,682,BUSINESS,20
387,4758,3187,GARANT,76
388,2964,381,GARANT,5
389,3886,4333,FAMILLE,19
390,3173,4817,FAMILLE,75
391,827,231,FAMILLE,31
392,4456,4799,FAMILLE,47
393,671,688,FAMILLE,76
394,1443,429,GARANT,96
395,715,2109,FAMILLE,19
396,167,4853,GARANT,96
397,2591,809,FAMILLE,7
398,4914,4246,BUSINESS,59
399,4819,1002,BUSINESS,79
400,3450,3991,FAMILLE,65
401,3254,3158,BUSINESS,43
402,3317,2754,GARANT,90
403,1881,4205,GARANT,69
404,3099,523,GARANT,74
405,3513,3207,GARANT,95
406,1441,1862,FAMILLE,12
407,2486,3864,GARANT,7
408,4477,213,FAMILLE,31
409,782,3177,GARANT,85
410,1023,2301,FAMILLE,11
411,4579,4212,GARANT,99
412,2988,3021,FAMILLE,58
413,4216,2325,GARANT,84
414,347,3423,BUSINESS,32
415,752,3158,FAMILLE,6
416,2184,1299,FAMILLE,28
417,4156,1058,FAMILLE,10
418,1086,4429,GARANT,70
419,4336,4411,FAMILLE,48
420,1309,497,FAMILLE,37
421,3792,4686,BUSINESS,6
422,4997,951,GARANT,71
423,3641,950,FAMILLE,80
424,1802,3398,BUSINESS,78
425,2312,2596,GARANT,52
426,218,4666,BUSINESS,12
427,2424,4819,BUSINESS,60
428,2415,4200,BUSINESS,8
429,3037,2462,GARANT,82
430,2852,2429,GARANT,74
431,1039,792,FAMILLE,52
432,3373,3700,GARANT,18
433,4577,1068,GARANT,47
434,2447,4804,GARANT,64
435,1582,2810,FAMILLE,37
436,3193,1352,BUSINESS,71
437,2461,68,BUSINESS,67
438,672,2041,BUSINESS,44
439,1501,23,GARANT,71
440,9,3419,GARANT,94
441,436,732,FAMILLE,59
442,750,1022,GARANT,7
443,4252,4559,FAMILLE,76
444,3825,2183,FAMILLE,19
445,3566,3579,GARANT,90
446,205,320,FAMILLE,7
447,4307,3068,BUSINESS,28
448,4138,3291,GARANT,68
449,4443,4297,BUSINESS,60
450,3807,1786,FAMILLE,11
451,4375,4517,BUSINESS,33
452,1484,1676,GARANT,26
453,2303,4282,FAMILLE,30
454,2565,844,GARANT,10
455,2378,4510,FAMILLE,19
456,4238,337,FAMILLE,61
457,1706,427,GARANT,95
458,4625,1432,GARANT,6
459,4216,3448,GARANT,5
460,3130,4340,FAMILLE,34
461,3781,4328,GARANT,56
462,4108,488,FAMILLE,37
463,1247,462,GARANT,75
464,340,4528,GARANT,28
465,1870,3353,FAMILLE,62
466,1759,2420,GARANT,43
467,3917,1915,BUSINESS,76
468,3056,2824,FAMILLE,67
469,2219,3190,BUSINESS,64
470,3975,1891,GARANT,78
471,4556,4191,GARANT,96
472,3911,598,BUSINESS,6
473,3989,465,FAMILLE,48
474,120,1137,GARANT,44
475,4256,1941,FAMILLE,70
476,2917,4506,BUSINESS,23
477,167,3856,FAMILLE,21
478,3279,3243,GARANT,21
479,555,4124,FAMILLE,36
480,3683,4087,FAMILLE,58
481,2487,3006,BUSINESS,57
482,4644,4904,FAMILLE,38
483,258,1921,BUSINESS,22
484,3308,4340,FAMILLE,7
485,4612,2999,GARANT,71
486,2557,3457,BUSINESS,33
487,709,4154,BUSINESS,76
488,1024,411,FAMILLE,59
489,3044,4171,BUSINESS,35
490,3243,1041,GARANT,87
491,2936,3048,GARANT,76
492,754,1474,FAMILLE,7
493,2165,1429,FAMILLE,62
494,2312,3801,GARANT,55
495,4911,1465,GARANT,86
496,2139,4972,GARANT,87
497,4738,4115,FAMILLE,42
498,1117,3847,BUSINESS,17
499,4496,106,GARANT,62
500,3022,3162,BUSINESS,26
501,4967,4230,FAMILLE,50
502,1005,2422,GARANT,29
503,878,533,BUSINESS,26
504,4592,1926,GARANT,57
505,2670,3188,GARANT,83
506,3936,409,BUSINESS,46
507,3349,3849,FAMILLE,49
508,2479,1315,BUSINESS,80
509,11,4714,FAMILLE,65
510,430,4071,FAMILLE,33
511,2150,3273,GARANT,97
512,1253,148,FAMILLE,5
513,2579,4019,FAMILLE,25
514,296,4761,FAMILLE,59
515,1313,801,BUSINESS,62
516,3100,4789,GARANT,77
517,4111,2987,GARANT,73
518,2990,4195,BUSINESS,37
519,1636,1127,GARANT,76
520,4764,1723,GARANT,88
521,4565,613,BUSINESS,8
522,4650,4062,GARANT,19
523,4138,1355,FAMILLE,21
524,2923,4278,FAMILLE,11
525,2245,2568,GARANT,35
526,1498,4029,GARANT,86
527,3479,1090,BUSINESS,68
528,3023,3503,FAMILLE,15
529,4805,273,BUSINESS,22
530,758,4327,FAMILLE,61
531,2796,2042,FAMILLE,12
532,3657,542,FAMILLE,71
533,4166,3220,FAMILLE,50
534,1485,2567,BUSINESS,61
535,4591,4021,GARANT,41
536,2575,1320,GARANT,80
537,2737,533,FAMILLE,29
538,594,3768,GARANT,43
539,4620,3675,BUSINESS,35
540,2869,2413,GARANT,95
541,2586,4841,FAMILLE,14
542,3185,881,GARANT,76
543,3991,2372,FAMILLE,60
544,2729,2277,FAMILLE,61
545,2653,2065,GARANT,87
546,2987,4671,FAMILLE,18
547,132,2914,FAMILLE,67
548,2612,3362,BUSINESS,66
549,3430,837,FAMILLE,18
550,2956,3414,GARANT,86
551,526,3999,FAMILLE,35
552,4777,3471,FAMILLE,13
553,1622,3705,GARANT,20
554,3196,4444,BUSINESS,17
555,733,742,BUSINESS,55
556,2086,3875,FAMILLE,65
557,3808,4175,FAMILLE,44
558,3153,3612,FAMILLE,75
559,2518,2050,BUSINESS,72
560,2642,3043,BUSINESS,13
561,2455,3925,BUSINESS,43
562,1161,2365,FAMILLE,62
563,1024,686,FAMILLE,57
564,3644,2934,FAMILLE,43
565,3453,549,FAMILLE,23
566,4873,4729,BUSINESS,22
567,1886,2639,GARANT,80
568,4903,3846,BUSINESS,50
569,1218,2827,BUSINESS,59
570,3120,3743,FAMILLE,26
571,4666,3860,FAMILLE,47
572,3290,4041,FAMILLE,52
573,4398,449,FAMILLE,52
574,510,3043,FAMILLE,60
575,3203,905,GARANT,29
576,2332,2265,FAMILLE,78
577,4964,4320,GARANT,81
578,3090,639,GARANT,71
579,277,350,GARANT,75
580,3571,2413,FAMILLE,57
581,4781,1561,GARANT,90
582,684,2096,BUSINESS,58
583,1019,4645,FAMILLE,15
584,1503,108,BUSINESS,47
585,3717,4907,GARANT,44
586,97,232,FAMILLE,38
587,3427,3627,FAMILLE,68
588,1984,273,FAMILLE,19
589,3338,4575,GARANT,22
590,2132,3629,GARANT,48
591,4439,727,GARANT,34
592,3902,3074,BUSINESS,18
593,2906,4371,BUSINESS,31
594,2490,1784,GARANT,79
595,1057,1443,GARANT,95
596,4689,4150,GARANT,87
597,1193,2764,FAMILLE,19
598,3015,1505,BUSINESS,24
599,4765,2513,BUSINESS,13
600,462,334,GARANT,63
601,4183,3455,BUSINESS,38
602,3341,1950,FAMILLE,9
603,3179,1862,BUSINESS,56
604,38,97,GARANT,52
605,3357,3821,FAMILLE,44
606,3631,606,FAMILLE,11
607,1646,3514,BUSINESS,25
608,1303,2660,GARANT,90
609,1864,3321,FAMILLE,43
610,3697,3336,FAMILLE,6
611,4218,2505,GARANT,72
612,1792,87,BUSINESS,23
613,4610,285,GARANT,61
614,309,2309,BUSINESS,43
615,3336,4163,GARANT,72
616,3450,3768,GARANT,35
617,3063,1121,FAMILLE,30
618,3852,2421,GARANT,84
619,3808,3521,FAMILLE,39
620,4274,4383,BUSINESS,21
621,4896,4915,BUSINESS,79
622,2201,2048,GARANT,71
623,4474,2015,FAMILLE,29
624,596,1755,GARANT,82
625,1296,3287,FAMILLE,52
626,869,2487,GARANT,26
627,4742,2208,GARANT,33
628,1890,2388,GARANT,45
629,4577,1867,BUSINESS,76
630,416,3645,GARANT,90
631,2898,4233,BUSINESS,41
632,3631,2558,FAMILLE,24
633,4460,4088,BUSINESS,10
634,22,438,BUSINESS,17
635,1343,592,FAMILLE,66
636,1418,2558,GARANT,73
637,2838,2133,BUSINESS,45
638,2116,3063,BUSINESS,16
639,2579,3292,GARANT,85
640,1640,3537,FAMILLE,49
641,2161,3757,BUSINESS,46
642,4835,384,FAMILLE,11
643,2315,431,FAMILLE,34
644,987,3244,BUSINESS,38
645,2071,1167,FAMILLE,10
646,903,2570,GARANT,99
647,2236,3485,GARANT,80
648,1699,1104,GARANT,79
649,3582,4575,GARANT,56
650,2063,2114,FAMILLE,78
651,1237,916,GARANT,74
652,3115,4025,GARANT,89
653,2415,565,GARANT,50
654,3705,1667,GARANT,98
655,198,598,GARANT,38
656,465,2036,BUSINESS,55
657,3395,4229,FAMILLE,52
658,2548,4845,FAMILLE,23
659,3539,99,GARANT,12
660,4497,4370,BUSINESS,37
661,3381,2144,FAMILLE,51
662,1984,2530,FAMILLE,22
663,4469,1352,GARANT,28
664,4750,1114,BUSINESS,71
665,3998,3902,FAMILLE,12
666,3875,2107,FAMILLE,32
667,869,4742,FAMILLE,9
668,763,1082,GARANT,30
669,2225,2733,BUSINESS,57
670,1984,653,FAMILLE,78
671,2542,1171,GARANT,99
672,2641,4142,FAMILLE,14
673,1549,937,FAMILLE,30
674,2802,355,FAMILLE,8
675,2859,3623,GARANT,91
676,3136,700,BUSINESS,8
677,4763,820,FAMILLE,78
678,3443,2917,BUSINESS,11
679,1294,3878,BUSINESS,67
680,832,1088,FAMILLE,6
681,4583,3042,FAMILLE,23
682,4360,2679,BUSINESS,36
683,2207,372,GARANT,59
684,2412,3009,BUSINESS,19
685,4693,1245,BUSINESS,31
686,2030,1254,FAMILLE,10
687,1992,1471,FAMILLE,36
688,1769,2634,BUSINESS,51
689,3130,3305,BUSINESS,21
690,866,1594,GARANT,9
691,2992,261,BUSINESS,58
692,3502,4280,GARANT,67
693,612,14,FAMILLE,35
694,3682,2222,FAMILLE,42
695,2498,2928,GARANT,97
696,1925,2845,BUSINESS,46
697,4008,3250,BUSINESS,17
698,113,532,FAMILLE,58
699,4751,3077,GARANT,95
700,1177,1657,GARANT,71
701,1402,3890,GARANT,33
702,3924,4211,FAMILLE,17
703,3034,4753,FAMILLE,73
704,3958,1623,BUSINESS,49
705,1217,2652,FAMILLE,40
706,4164,4355,BUSINESS,77
707,2112,3077,GARANT,88
708,1282,2763,FAMILLE,6
709,4276,1852,BUSINESS,34
710,494,4912,GARANT,68
711,1224,2397,FAMILLE,56
712,4839,4656,BUSINESS,63
713,2951,1040,FAMILLE,73
714,1975,4290,BUSINESS,13
715,3466,4561,FAMILLE,24
716,2525,3720,BUSINESS,13
717,4580,4638,GARANT,5
718,4930,1507,BUSINESS,10
719,928,4488,GARANT,10
720,3416,118,BUSINESS,18
721,3553,3462,GARANT,40
722,4694,4231,GARANT,36
723,4139,1974,BUSINESS,32
724,854,3480,FAMILLE,13
725,4203,1056,FAMILLE,34
726,355,2861,BUSINESS,76
727,4608,2139,GARANT,87
728,288,1680,BUSINESS,73
729,371,3367,BUSINESS,65
730,1357,3907,GARANT,27
731,4596,3894,GARANT,95
732,4605,4153,BUSINESS,26
733,371,3194,FAMILLE,54
734,2978,3450,BUSINESS,29
735,4751,1636,GARANT,79
736,2139,257,GARANT,83
737,4543,3023,FAMILLE,26
738,2743,3548,FAMILLE,48
739,584,905,FAMILLE,58
740,1664,854,FAMILLE,63
741,88,2730,BUSINESS,44
742,1,1208,BUSINESS,33
743,328,4626,BUSINESS,32
744,363,3371,FAMILLE,51
745,3301,4712,BUSINESS,61
746,2731,4718,FAMILLE,70
747,2529,4432,FAMILLE,36
748,4039,43,BUSINESS,67
749,2546,3202,GARANT,35
750,572,420,GARANT,25
751,4823,2175,BUSINESS,17
752,3559,2362,FAMILLE,79
753,761,2188,GARANT,96
754,4596,514,GARANT,98
755,3937,2967,FAMILLE,65
756,2291,3538,BUSINESS,5
757,4024,1317,FAMILLE,52
758,1509,145,FAMILLE,12
759,828,460,BUSINESS,45
760,294,1433,GARANT,43
761,3629,1824,FAMILLE,49
762,3954,4981,GARANT,49
763,459,4514,BUSINESS,39
764,1557,3583,GARANT,86
765,1391,4239,FAMILLE,37
766,729,3809,BUSINESS,67
767,3439,1377,GARANT,47
768,3002,3471,BUSINESS,33
769,1432,3983,FAMILLE,19
770,4040,2142,BUSINESS,65
771,1282,800,BUSINESS,57
772,3141,4676,FAMILLE,60
773,921,4255,BUSINESS,39
774,1756,3929,GARANT,36
775,1958,3965,FAMILLE,31
776,2351,2391,BUSINESS,54
777,1065,1739,FAMILLE,17
778,4060,1497,GARANT,87
779,182,3421,FAMILLE,67
780,4783,3025,GARANT,96
781,1352,2640,GARANT,76
782,3260,1058,GARANT,52
783,157,2635,FAMILLE,19
784,2491,936,GARANT,76
785,2174,4635,FAMILLE,48
786,2841,3479,FAMILLE,59
787,3018,457,FAMILLE,49
788,4560,3079,BUSINESS,22
789,877,4443,GARANT,59
790,3100,623,GARANT,31
791,4376,263,FAMILLE,67
792,3909,2508,GARANT,46
793,1207,2994,GARANT,19
794,3086,3311,BUSINESS,75
795,274,2834,FAMILLE,22
796,1718,493,GARANT,28
797,2606,839,GARANT,78
798,1457,2241,BUSINESS,48
799,2533,4634,FAMILLE,67
800,3738,348,GARANT,65
801,3148,3978,GARANT,73
802,3759,4441,FAMILLE,22
803,4200,4530,BUSINESS,38
804,1990,3893,BUSINESS,20
805,511,4773,FAMILLE,19
806,407,3321,FAMILLE,24
807,226,1471,GARANT,19
808,4370,348,GARANT,68
809,1845,3673,FAMILLE,71
810,3317,105,GARANT,85
811,4000,460,GARANT,75
812,252,3832,FAMILLE,11
813,2609,4373,BUSINESS,43
814,3945,2140,BUSINESS,8
815,2012,40,GARANT,88
816,284,4867,FAMILLE,12
817,1466,4126,BUSINESS,47
818,3186,2777,FAMILLE,21
819,383,3576,FAMILLE,31
820,2816,4410,FAMILLE,63
821,3186,878,FAMILLE,40
822,1429,997,BUSINESS,24
823,2491,4921,BUSINESS,24
824,432,704,GARANT,74
825,4238,4852,GARANT,80
826,2957,2224,FAMILLE,46
827,1301,842,GARANT,81
828,8,4471,GARANT,77
829,4601,1172,BUSINESS,34
830,378,3644,GARANT,69
831,3061,4682,FAMILLE,73
832,27,503,FAMILLE,16
833,3534,1797,FAMILLE,55
834,4480,4530,GARANT,79
835,1474,4836,BUSINESS,76
836,408,203,FAMILLE,64
837,4402,735,FAMILLE,38
838,3989,4286,BUSINESS,66
839,217,703,BUSINESS,30
840,1420,4199,FAMILLE,42
841,105,2616,BUSINESS,39
842,3322,2685,GARANT,80
843,1510,1234,FAMILLE,29
844,2200,2055,FAMILLE,42
845,1230,925,GARANT,56
846,4053,896,BUSINESS,58
847,384,1232,BUSINESS,40
848,4757,358,GARANT,54
849,59,4202,GARANT,69
850,3798,1370,FAMILLE,21
851,539,3981,BUSINESS,8
852,945,221,GARANT,23
853,3376,4557,FAMILLE,72
854,4851,2599,GARANT,60
855,3385,4144,FAMILLE,74
856,237,890,GARANT,90
857,1964,858,BUSINESS,40
858,1280,3914,GARANT,73
859,4189,4008,BUSINESS,5
860,2185,3936,FAMILLE,46
861,1043,294,FAMILLE,6
862,4947,778,GARANT,5
863,843,1818,BUSINESS,36
864,1942,2284,GARANT,86
865,4706,3019,FAMILLE,10
866,3821,4143,FAMILLE,28
867,3070,4544,BUSINESS,65
868,4233,580,FAMILLE,39
869,1299,2330,FAMILLE,48
870,1138,1832,GARANT,81
871,4911,2505,GARANT,86
872,1310,713,BUSINESS,31
873,2411,3491,FAMILLE,61
874,4370,3985,BUSINESS,38
875,1088,2616,BUSINESS,71
876,665,1256,GARANT,100
877,360,3713,FAMILLE,73
